============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  204  1 .5372802E+07   1922000E+01 -.2510E+06 -.2541E+06   .9978367 -.0634069 -.0173644
T  205  1 .5244897E+07   1922000E+01  .1911E+06  .1803E+06   .9996544 -.0046495  .0258731
T  206  1 .4728242E+07   1922000E+01  .3414E+05  .5733E+05   .9993161 -.0311672  .0198977
T  207  1 .4781369E+07   1922000E+01 -.1590E+06 -.3060E+06   .9959353  .0194623 -.0879434
T  208  1 .4578779E+07   1922000E+01 -.1684E+06 -.5437E+05   .9999997  .0005617  .0004456
T  209  1 .4854656E+07   1922000E+01 -.4225E+06  .1107E+06   .9985000 -.0508577  .0202797
T  210  1 .5336054E+07   1922000E+01  .7555E+05  .1122E+05   .9992399  .0314050 -.0230931
T  211  1 .4452933E+07   1922000E+01  .5285E+06  .1040E+06   .9973920  .0613388  .0380351
T  212  1 .4893631E+07   1922000E+01 -.2881E+06 -.3868E+06   .9995854  .0065600 -.0280340
T  213  1 .4568245E+07   1922000E+01 -.1408E+06 -.3175E+06   .9986652  .0262168 -.0445027
T  214  1 .5165661E+07   1922000E+01  .1042E+06  .6461E+05   .9972868 -.0011991 -.0736046
T  215  1 .4705102E+07   1922000E+01 -.1085E+06  .5987E+06   .9995398 -.0094772  .0288160
T  216  1 .5258978E+07   1922000E+01 -.1189E+06 -.1332E+06   .9998340 -.0130567 -.0127117
T  217  1 .5622057E+07   1922000E+01  .2542E+05  .1085E+06   .9990707 -.0189536  .0387104
T  218  1 .4482163E+07   1922000E+01  .2723E+05 -.6054E+05   .9999475  .0101781  .0012134
T  219  1 .5216684E+07   1922000E+01  .3237E+06 -.3176E+06   .9986602  .0414413 -.0309914
T  220  1 .4610665E+07   1922000E+01  .1661E+06  .4453E+06   .9985358 -.0042403  .0539289
T  221  1 .4561799E+07   1922000E+01 -.1045E+06  .2511E+06   .9979254 -.0168366  .0621398
T  222  1 .4550143E+07   1922000E+01  .4127E+05 -.5757E+05   .9965253  .0685117  .0473656
